"ObjectType","Name","ExistsInFirstSite","ExistsInSecondSite","FirstSiteItemCount","SecondSiteItemCount","Status"
"List","Alert Approval History","True","False","0","0","Missing in Second Site"
"List","Alert Approval Tasks","True","True","0","0","Matched"
"List","Alerts","True","True","1","2","Item Count Mismatch"
"List","appdata","True","True","0","0","Matched"
"List","appfiles","True","True","0","0","Matched"
"List","Badges","True","True","2","2","Matched"
"List","Cache Profiles","True","True","4","4","Matched"
"List","Categories","True","True","1","2","Item Count Mismatch"
"List","Community Members","True","True","1","3","Item Count Mismatch"
"List","Composed Looks","True","True","18","18","Matched"
"List","Connect With Us","True","True","4","8","Item Count Mismatch"
"List","Contact Links","True","True","4","8","Item Count Mismatch"
"List","Content and Structure Reports","True","True","14","21","Item Count Mismatch"
"List","Content type publishing error log","True","True","0","0","Matched"
"List","Contributors to Landing Page","True","True","3","6","Item Count Mismatch"
"List","Converted Forms","True","True","22","4","Item Count Mismatch"
"List","Device Channels","True","True","1","1","Matched"
"List","Discussions List","True","True","0","0","Matched"
"List","Distribution Groups","True","True","21","42","Item Count Mismatch"
"List","Download The Latest","True","True","5","10","Item Count Mismatch"
"List","EmployeeSpot","True","True","2","4","Item Count Mismatch"
"List","External Links","True","True","12","24","Item Count Mismatch"
"List","Global Shortcuts","True","True","4","8","Item Count Mismatch"
"List","Home Banner","True","True","5","10","Item Count Mismatch"
"List","Images","True","True","231","231","Matched"
"List","List Template Gallery","True","True","3","0","Item Count Mismatch"
"List","Long Running Operation Status","True","True","7","3","Item Count Mismatch"
"List","Maintenance Log Library","True","True","107","4","Item Count Mismatch"
"List","Master Page Gallery","True","True","1081","1081","Matched"
"List","MicroFeed","True","True","2","2","Matched"
"List","Most Frequented Sites","True","True","3","6","Item Count Mismatch"
"List","News and Announcements","True","True","36","72","Item Count Mismatch"
"List","Notification List","True","True","0","0","Matched"
"List","Pages","True","True","34","34","Matched"
"List","Preservation Hold Library","True","False","337","0","Missing in Second Site"
"List","ProductMgtSME","True","True","17","34","Item Count Mismatch"
"List","Project Policy Item List","True","True","0","0","Matched"
"List","QL","True","True","1","2","Item Count Mismatch"
"List","Quick Deploy Items","True","True","0","0","Matched"
"List","Quick Links","True","True","4","8","Item Count Mismatch"
"List","Relationships List","True","True","1","1","Matched"
"List","Reports List","True","True","0","0","Matched"
"List","Reusable Content","True","True","3","6","Item Count Mismatch"
"List","SharePoint Super Users","True","True","2","4","Item Count Mismatch"
"List","SharePointHomeCacheList","True","True","3","0","Item Count Mismatch"
"List","Sharing Links","True","False","4","0","Missing in Second Site"
"List","Site Collection Images","True","True","9","9","Matched"
"List","Site Pages","True","True","14","14","Matched"
"List","Solution Gallery","True","True","0","0","Matched"
"List","Suggested Content Browser Locations","True","True","0","0","Matched"
"List","Tasks","True","True","0","0","Matched"
"List","TaxonomyHiddenList","True","True","652","664","Item Count Mismatch"
"List","Theme Gallery","True","True","180","57","Item Count Mismatch"
"List","Tools List","True","True","5","10","Item Count Mismatch"
"List","Translation Status","True","True","0","0","Matched"
"List","Upcoming Events","True","True","62","124","Item Count Mismatch"
"List","User Information List","True","True","10153","55536","Item Count Mismatch"
"List","User Settings","True","True","5","10","Item Count Mismatch"
"List","Variation Labels","True","True","0","0","Matched"
"List","Videos","True","True","16","16","Matched"
"List","Web Part Gallery","True","True","76","76","Matched"
"List","Web Template Extensions","True","False","6","0","Missing in Second Site"
"List","wfpub","True","True","308","308","Matched"
"List","Workflow Tasks","True","True","0","0","Matched"
"List","Workflows","True","False","15","0","Missing in Second Site"
"List","fpdatasources","False","True","0","0","Extra in Second Site"
"Library","_catalogs/hubsite","True","True","11","1","Item Count Mismatch"
"Library","Audit Reports","True","True","2","2","Matched"
"Library","CONNECTions Support Documents","True","True","36","36","Matched"
"Library","Documents","True","True","3","3","Matched"
"Library","Form Templates","True","True","0","0","Matched"
"Library","Governance","True","True","2","2","Matched"
"Library","IRMTest","True","True","1","1","Matched"
"Library","PersistedManagedNavigationListEA69B38CE5CE4F1199","True","True","1","1","Matched"
"Library","Phone Lists","True","True","56","56","Matched"
"Library","Restricted John Berlin","True","True","2","2","Matched"
"Library","RFETest01","True","True","4","4","Matched"
"Library","ServiceNowEndUsers","True","True","9","9","Matched"
"Library","Shared Documents","True","True","87","87","Matched"
"Library","Site Assets","True","True","61","61","Matched"
"Library","Site Collection Documents","True","True","0","0","Matched"
"Library","Style Library","True","True","630","630","Matched"
"Library","Translation Packages","True","True","0","0","Matched"
"ContentType","System","True","True","N/A","N/A","Matched"
"ContentType","Common Indicator Columns","True","True","N/A","N/A","Matched"
"ContentType","Fixed Value based Status Indicator","True","True","N/A","N/A","Matched"
"ContentType","SharePoint List based Status Indicator","True","True","N/A","N/A","Matched"
"ContentType","Excel based Status Indicator","True","True","N/A","N/A","Matched"
"ContentType","SQL Server Analysis Services based Status Indicator","True","True","N/A","N/A","Matched"
"ContentType","Item","True","True","N/A","N/A","Matched"
"ContentType","Circulation","True","True","N/A","N/A","Matched"
"ContentType","New Word","True","True","N/A","N/A","Matched"
"ContentType","Category","True","True","N/A","N/A","Matched"
"ContentType","Site Membership","True","True","N/A","N/A","Matched"
"ContentType","Community Member","True","True","N/A","N/A","Matched"
"ContentType","WorkflowServiceDefinition","True","True","N/A","N/A","Matched"
"ContentType","Reusable HTML","True","True","N/A","N/A","Matched"
"ContentType","Health Analyzer Rule Definition","True","True","N/A","N/A","Matched"
"ContentType","Published Link","True","True","N/A","N/A","Matched"
"ContentType","Resource","True","True","N/A","N/A","Matched"
"ContentType","Reusable Text","True","True","N/A","N/A","Matched"
"ContentType","Official Notice","True","True","N/A","N/A","Matched"
"ContentType","Phone Call Memo","True","True","N/A","N/A","Matched"
"ContentType","Project Policy","True","True","N/A","N/A","Matched"
"ContentType","Page Output Cache","True","True","N/A","N/A","Matched"
"ContentType","Device Channel","True","True","N/A","N/A","Matched"
"ContentType","Holiday","True","True","N/A","N/A","Matched"
"ContentType","What's New Notification","True","True","N/A","N/A","Matched"
"ContentType","WorkflowServiceSubscription","True","True","N/A","N/A","Matched"
"ContentType","Timecard","True","True","N/A","N/A","Matched"
"ContentType","Resource Group","True","True","N/A","N/A","Matched"
"ContentType","Rule","True","True","N/A","N/A","Matched"
"ContentType","Health Analyzer Report","True","True","N/A","N/A","Matched"
"ContentType","Users","True","True","N/A","N/A","Matched"
"ContentType","Document","True","True","N/A","N/A","Matched"
"ContentType","Translation Status","True","True","N/A","N/A","Matched"
"ContentType","System Page Layout","True","True","N/A","N/A","Matched"
"ContentType","Page Layout","True","True","N/A","N/A","Matched"
"ContentType","Html Page Layout","True","True","N/A","N/A","Matched"
"ContentType","System Master Page","True","True","N/A","N/A","Matched"
"ContentType","ASP NET Master Page","True","True","N/A","N/A","Matched"
"ContentType","Html Master Page","True","True","N/A","N/A","Matched"
"ContentType","IT_Guide","True","True","N/A","N/A","Matched"
"ContentType","Test","True","True","N/A","N/A","Matched"
"ContentType","Depart_Docs_Type","True","True","N/A","N/A","Matched"
"ContentType","IT_Docs","True","True","N/A","N/A","Matched"
"ContentType","Sale_Docs_Type","True","True","N/A","N/A","Matched"
"ContentType","Corporate Procedures","True","True","N/A","N/A","Matched"
"ContentType","COS_Docs","True","True","N/A","N/A","Matched"
"ContentType","TM_Docs","True","True","N/A","N/A","Matched"
"ContentType","Display Template","True","True","N/A","N/A","Matched"
"ContentType","Control Display Template","True","True","N/A","N/A","Matched"
"ContentType","Group Display Template","True","True","N/A","N/A","Matched"
"ContentType","Item Display Template","True","True","N/A","N/A","Matched"
"ContentType","Filter Display Template","True","True","N/A","N/A","Matched"
"ContentType","Display Template Code","True","True","N/A","N/A","Matched"
"ContentType","JavaScript Display Template","True","True","N/A","N/A","Matched"
"ContentType","TestLookUpCT","True","True","N/A","N/A","Matched"
"ContentType","Report","True","True","N/A","N/A","Matched"
"ContentType","Office Data Connection File","True","True","N/A","N/A","Matched"
"ContentType","Learning Material","True","True","N/A","N/A","Matched"
"ContentType","List View Style","True","True","N/A","N/A","Matched"
"ContentType","Rich Media Asset","True","True","N/A","N/A","Matched"
"ContentType","Video Rendition","True","True","N/A","N/A","Matched"
"ContentType","Audio","True","True","N/A","N/A","Matched"
"ContentType","Image","True","True","N/A","N/A","Matched"
"ContentType","Site Page","True","True","N/A","N/A","Matched"
"ContentType","Repost Page","True","True","N/A","N/A","Matched"
"ContentType","Space","True","System.Object[]","N/A","N/A","Matched"
"ContentType","Content Freshness","True","True","N/A","N/A","Matched"
"ContentType","Web Part Page with Status List","True","True","N/A","N/A","Matched"
"ContentType","Standard Template Document","True","True","N/A","N/A","Matched"
"ContentType","Universal Data Connection File","True","True","N/A","N/A","Matched"
"ContentType","EA_IT_Docs","True","True","N/A","N/A","Matched"
"ContentType","Design File","True","True","N/A","N/A","Matched"
"ContentType","System Page","True","True","N/A","N/A","Matched"
"ContentType","Page","True","True","N/A","N/A","Matched"
"ContentType","Article Page","True","True","N/A","N/A","Matched"
"ContentType","Enterprise Wiki Page","True","True","N/A","N/A","Matched"
"ContentType","Project Page","True","True","N/A","N/A","Matched"
"ContentType","Welcome Page","True","True","N/A","N/A","Matched"
"ContentType","Error Page","True","True","N/A","N/A","Matched"
"ContentType","Catalog-Item Reuse","True","True","N/A","N/A","Matched"
"ContentType","Redirect Page","True","True","N/A","N/A","Matched"
"ContentType","PoliciesandProceduresCT","True","True","N/A","N/A","Matched"
"ContentType","Translation Package","True","True","N/A","N/A","Matched"
"ContentType","InfoPath Form Template","True","True","N/A","N/A","Matched"
"ContentType","Device Channel Mappings","True","True","N/A","N/A","Matched"
"ContentType","Form","True","True","N/A","N/A","Matched"
"ContentType","Picture","True","True","N/A","N/A","Matched"
"ContentType","Unknown Document Type","True","True","N/A","N/A","Matched"
"ContentType","Master Page","True","True","N/A","N/A","Matched"
"ContentType","Master Page Preview","True","True","N/A","N/A","Matched"
"ContentType","User Workflow Document","True","True","N/A","N/A","Matched"
"ContentType","Wiki Page","True","True","N/A","N/A","Matched"
"ContentType","Basic Page","True","True","N/A","N/A","Matched"
"ContentType","DocType","True","True","N/A","N/A","Matched"
"ContentType","Web Part Page","True","True","N/A","N/A","Matched"
"ContentType","Link to a Document","True","True","N/A","N/A","Matched"
"ContentType","Dublin Core Columns","True","True","N/A","N/A","Matched"
"ContentType","Event","True","True","N/A","N/A","Matched"
"ContentType","Upcoming Content Type","True","True","N/A","N/A","Matched"
"ContentType","Reservations","True","True","N/A","N/A","Matched"
"ContentType","Schedule and Reservations","True","True","N/A","N/A","Matched"
"ContentType","Schedule","True","True","N/A","N/A","Matched"
"ContentType","Issue","True","True","N/A","N/A","Matched"
"ContentType","FRA_NonCompliantRejects","True","True","N/A","N/A","Matched"
"ContentType","Announcement","True","True","N/A","N/A","Matched"
"ContentType","Link","True","True","N/A","N/A","Matched"
"ContentType","Contact","True","True","N/A","N/A","Matched"
"ContentType","Message","True","True","N/A","N/A","Matched"
"ContentType","Task","True","True","N/A","N/A","Matched"
"ContentType","Workflow Task (SharePoint 2013)","True","True","N/A","N/A","Matched"
"ContentType","Workflow Task","True","True","N/A","N/A","Matched"
"ContentType","SharePoint Server Workflow Task","True","True","N/A","N/A","Matched"
"ContentType","Approval _x0028_17_x0029_","True","True","N/A","N/A","Matched"
